#fid val area LSkew LKurt entr mean std meansnow Nsnow meanratio
1.448400000000000000e+04 1.000000000000000000e+00 3.045000000000000000e+03 1.126416563440384017e-01 3.639444239037828432e-02 3.818622275254447196e+00 5.410719113886258702e-01 7.028976821937495123e-02 nan nan nan
1.448400000000000000e+04 2.000000000000000000e+00 3.794000000000000000e+03 8.883057418009637773e-01 9.541069253689433705e-01 4.232352329158696747e-01 4.217030017995535701e-03 2.588120241927393400e-02 nan nan nan
1.448400000000000000e+04 3.000000000000000000e+00 1.199500000000000000e+04 2.877125130366572914e-01 1.085239015488050907e-01 3.787095493656662981e+00 3.262322762194537762e-01 1.199386122105849523e-01 1.248592000000000174e-01 3.000000000000000000e+00 2.610323199164121366e+00
1.448400000000000000e+04 4.000000000000000000e+00 1.165000000000000000e+03 5.105620008965938011e-02 2.667691656328058727e-02 5.146752841011268842e+00 6.568601370944997520e-01 2.514239873151027371e-01 nan nan nan
1.448400000000000000e+04 5.000000000000000000e+00 1.240100000000000000e+04 1.073912829203894359e-01 1.125813725070743815e-01 5.072924591430231445e+00 9.767443141553413533e-01 3.622105405093576369e-01 3.576296000000000475e-01 7.000000000000000000e+00 2.359693218055973318e+00
1.460600000000000000e+04 1.000000000000000000e+00 9.676000000000000000e+03 1.348193850204286726e-01 4.237140962483394724e-02 3.721487571069570954e+00 4.915996232463116788e-01 7.211953126216101573e-02 1.699163999999999952e-01 4.000000000000000000e+00 2.795987060650048317e+00
1.460600000000000000e+04 2.000000000000000000e+00 1.637800000000000000e+04 1.419103316052519048e-01 1.668353319914215316e-01 5.015718728336092447e+00 9.309690999801319977e-01 2.814246617851911547e-01 4.802290666666667041e-01 1.200000000000000000e+01 1.790012003835809384e+00
1.460600000000000000e+04 3.000000000000000000e+00 6.346000000000000000e+03 1.448533525207101880e-01 8.989391995267835556e-02 3.769039512246267876e+00 5.093660926146346135e-01 8.847458691423747135e-02 1.305088000000000081e-01 1.000000000000000000e+00 4.473364052051765682e+00
1.761900000000000000e+04 1.000000000000000000e+00 1.274700000000000000e+04 1.695320946759472369e-01 1.155076372282189540e-01 3.724594004532507885e+00 3.652895759769801409e-01 8.736443854265353581e-02 1.775434999999999930e-01 8.000000000000000000e+00 2.356175076191568518e+00
1.761900000000000000e+04 2.000000000000000000e+00 1.965300000000000000e+04 1.472711809750431866e-01 1.497486500598595449e-01 4.618463662275714476e+00 7.841410821640466544e-01 2.428097246136260157e-01 3.116781333333333293e-01 9.000000000000000000e+00 2.412806236607553334e+00
1.828700000000000000e+04 1.000000000000000000e+00 8.268000000000000000e+03 1.786901797754319732e-01 8.064310486468578842e-02 3.831592067529061563e+00 3.963681186103754639e-01 8.414081869143490156e-02 8.305120000000000557e-02 1.000000000000000000e+00 5.034272109751880997e+00
1.828700000000000000e+04 2.000000000000000000e+00 8.120000000000000000e+02 8.465772304369685586e-02 -7.945088017992370244e-02 3.841582310575700543e+00 5.084372198053181968e-01 8.907544244537451972e-02 nan nan nan
1.828700000000000000e+04 3.000000000000000000e+00 2.244100000000000000e+04 8.222430617673302800e-02 1.274482649500686959e-01 4.333616453321138096e+00 7.703268986679558950e-01 2.427947764748325521e-01 2.343235000000000179e-01 8.000000000000000000e+00 3.291099111417901568e+00
1.828700000000000000e+04 4.000000000000000000e+00 8.790000000000000000e+02 1.418869604337582579e-01 -3.956862869779483038e-03 3.862655731098220802e+00 5.070541469852807293e-01 6.788217651602561353e-02 nan nan nan
1.829600000000000000e+04 1.000000000000000000e+00 1.603900000000000000e+04 8.466695382940971071e-02 1.086726305742246879e-01 4.753138142334941030e+00 8.638525601443681756e-01 4.091789296614458116e-01 2.555947200000000530e-01 5.000000000000000000e+00 3.003863017921189815e+00
1.829600000000000000e+04 2.000000000000000000e+00 2.223000000000000000e+03 1.880204563536361784e-01 2.199869045373396281e-01 4.400273563356963180e+00 4.830272326960630136e-01 1.485693628097181640e-01 nan nan nan
1.829600000000000000e+04 3.000000000000000000e+00 7.699000000000000000e+03 2.003252553075709486e-01 3.575958168165884604e-02 4.209034172788090444e+00 6.606325221943892823e-01 1.547869662507483923e-01 1.573859428571428853e-01 7.000000000000000000e+00 4.314235888934793373e+00
1.829600000000000000e+04 4.000000000000000000e+00 6.439000000000000000e+03 1.434166424553256214e-01 7.015345148361572247e-02 3.769813505094718131e+00 4.420864124705580767e-01 9.038159508539859999e-02 1.039551999999999837e-01 3.000000000000000000e+00 4.571079570495778732e+00
1.830300000000000000e+04 1.000000000000000000e+00 1.003000000000000000e+03 1.191724295946826467e-01 -9.070995006909747527e-02 4.089245963026716169e+00 4.281772920046584829e-01 1.038681087513285417e-01 nan nan nan
1.830300000000000000e+04 2.000000000000000000e+00 6.276000000000000000e+03 1.938099390396054722e-01 -1.117920972016305248e-01 3.981758600801548198e+00 4.160228770980008983e-01 1.389392241298358643e-01 nan nan nan
1.830300000000000000e+04 3.000000000000000000e+00 1.800600000000000000e+04 9.762789220898512865e-02 1.682749630778052063e-01 4.726309372829510025e+00 8.872967345819438023e-01 2.745296120327074263e-01 2.355947692307692742e-01 1.300000000000000000e+01 3.839989479063822486e+00
1.830300000000000000e+04 4.000000000000000000e+00 6.375000000000000000e+03 1.115344783533143980e-01 9.034581670376568008e-02 4.150730609086679124e+00 4.277573792420181764e-01 1.137539708450540782e-01 nan nan nan
1.830300000000000000e+04 5.000000000000000000e+00 7.400000000000000000e+02 2.724142187925614189e-02 1.047897309321677295e-01 3.799054963055207068e+00 2.313229467518426175e-01 7.144860515993056715e-02 nan nan nan
